# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Яе даўжыня — 989 км, аддзяляе Іран ад Саудаўскай Аравіі.	Яе даўжыня – 989 км, аддзяляе Іран ад Саудаўскай Арабіі.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.875
Краіны, размешчаныя на ўзбярэжжы Персідскага заліву: Іран, Аман, Аб’яднаныя Арабскія Эміраты, Саудаўская Аравія, Катар, Бахрэйн, Кувейт і Ірак.	Краіны, разьмешчаныя на ўзьбярэжжы Пэрсыдзкай затокі: Іран, Аман, Аб’яднаныя Арабскія Эміраты, Саудаўская Арабія, Катар, Бахрэйн, Кувэйт і Ірак.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.667
Багатыя на нафту краіны (за выняткам Іраку), якія размяшчаюцца на ўзбярэжжы Персідскага заліву, называюць краінамі Персідскага заліву.	Багатыя на нафту краіны (за выняткам Іраку), якія разьмяшчаюцца на ўзьбярэжжы Пэрсыдзкай затокі, называюць краінамі Пэрсыдзкай затокі.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.647
Апошнія 2.500 год амаль усе гісторыкі і аўтары Блізкага Усходу менавіта так называлі гэты заліў.	Апошнія 2 500 год амаль усе гісторыкі і аўтары Бліжняга Ўсходу менавіта так называлі гэтую затоку.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.714
Пісьмовыя крыніцы часоў старадаўняй Персідскай імперыі не дайшлі да нашых часоў, але ў вуснай мове ўсе народы рэгіёна называюць яе Мора Ірана, Парскае мора.	Пісьмовыя крыніцы часоў старадаўняй Пэрсыдзкай імпэрыі не дайшлі да нашых часоў, але ў вуснай мове ўсе народы рэгіёна называюць яе Мора Ірана, Парскае мора.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.917
З 550 года да 330 года да н.э. амаль усе пісьмовыя крыніцы называлі Персідскі заліў Мора Парс.	З 550 году да 330 году да н. э. амаль усе пісьмовыя крыніцы называлі Пэрсыдзкую затоку Мора Парс.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.750
Але ў наш час некаторыя краіны аспрэчваюць дакладнасць назвы заліву.	Але ў наш час некаторыя краіны аспрэчваюць дакладнасьць назвы затокі.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.800
У 1973—1974 гадах вучыўся ў маскоўскім Інстытуце мастацтва і літаратуры.	У 1973—1974 гадох навучаўся ў Маскоўскім інстытуце мастацтва і пісьменства.	Мукагалі Макатаеў	4824985	Мукагалі Мукатаеў	2211936	0.667
Вуліца Пуліхава — адна з цэнтральных вуліц Мінска.	Вуліца Пуліхава — адна з цэнтральных вуліцаў Менску.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.714
Знаходзіцца ў Партызанскім раёне і ідзе ўздоўж левага берагу ракі Свіслачы ад вуліцы Першамайскай да Смаленскай.	Знаходзіцца ў Партызанскім раёне і ідзе ўздоўж левага берагу ракі Сьвіслачы ад вуліцы Першамайскай да Смаленскай.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.938
Перасякаецца з вуліцамі Слясарнай і Андрэеўскай, а таксама з Нагорным завулкам.	Перасякаецца з вуліцамі Сьлясарнай і Андрэеўскай, а таксама з Нагорным завулкам.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.909
На гарадской карце 1898 года вуліца мела толькі палову сваёй сённяшняй даўжыні, праходзіла па гістарычным раёне Стромкі Бераг і цягнулася ад вуліцы Вясёлай (цяпер — Першамайская) да перакрыжавання са Шпітальнай (пазней — Фрунзенскай) і Нагорнай.	На гарадзкой мапе 1898 году вуліца мела толькі палову сваёй сёньняшняй даўжыні, праходзіла па гістарычным раёне Стромкі Бераг і цягнулася ад вуліцы Вясёлай (цяпер — Першамайская) да перакрыжаваньня са Шпітальнай (пазьней — Фрунзенскай) і Нагорнай.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.812
У пачатку вуліцы па яе левым боку знаходзіліся казармы.	У пачатку вуліцы па яе левым баку знаходзіліся казармы.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.889
Спадарожнік па Мінску (1930 год) падае старую назву вуліцы як «Архірэйскае ўрочышча», а новую — як «Піліхава ўрочышча».	Спадарожнік па Менску (1930 год) падае старую назву вуліцы як «Архірэйскае ўрочышча», а новую — як «Піліхава ўрочышча».	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.938
На гарадской карце 1934 года назва вуліцы пададзена як «Пуліхаўская».	На гарадзкой мапе 1934 году назва вуліцы пададзена як «Пуліхаўская».	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.667
У час нямецкай акупацыі вуліца называлася імем нямецкага інжынэра—вынаходніка К.	У час нямецкай акупацыі вуліца называлася імём нямецкага інжынэра—вынаходніка К.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.909
Толькі пасля вайны вуліца Пуліхава падоўжылася да мінскага гістарычнага раёна, з якім раней дзяліла сваю назву, — Архірэйская Слабодка.	Толькі пасьля вайны вуліца Пуліхава падоўжылася да менскага гістарычнага раёну, зь якім раней дзяліла сваю назву, — Архірэйская Слабодка.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.778
Жылы мікрараён па левым боку вуліцы пабудаваны ў 1960-я—1970-я гады.	Жылы мікрараён па левым баку вуліцы пабудаваны ў 1960-я—1970-я гады.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.909
Для забудовы гэтага перыяду характэрныя тыпавыя 5-павярховыя жылыя дамы і 9-павярховыя дамы, пабудаваныя па індывідуальных праектах (архітэктары М.	Для забудовы гэтага пэрыяду характэрныя тыпавыя 5-павярховыя жылыя дамы і 9-павярховыя дамы, пабудаваныя па індывідуальных праектах (архітэктары М.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.944
У гэты ж час добраўпарадкавана набярэжная Свіслачы (архітэктары А.	У гэты ж час добраўпарадкавана набярэжная Сьвіслачы (архітэктары А.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.889
У мінскім гарадскім слэнгу за жылым раёнам вуліцы Пуліхава (паміж вуліцамі Захарава і Пуліхава), дзе за савецкім часам пераважна жыла партыйная наменклатура, замацавалася назва «Царскае сяло» ці «раён пыжыкавых (андатравых) капелюшоў».	У менскім гарадзкім слэнгу за жылым раёнам вуліцы Пуліхава (паміж вуліцамі Захарава й Пуліхава), дзе за савецкім часам пераважна жыла партыйная намэнклятура, замацавалася назва «Царскае сяло» ці «раён пыжыкавых (андатравых) капелюшоў».	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.871
Станюты. — Мн.: Полымя, 1994.— 341 с. [1] асобн. арк. карт.: іл.	Станюты. — Менск: Полымя, 1994. — 341 с. [1] асобн. арк. карт.: іл.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.875
Гісторыя Мінска. 1-е выданне. — Мінск: БелЭн, 2006.— 696 с.	Гісторыя Мінска. 1-е выданне. — Менск: БелЭн, 2006. — 696 с.	Вуліца Пуліхава (Мінск)	5051364	Вуліца Пуліхава (Менск)	2182732	0.857
Зальны храм — храм, унутраны аб’ём якога вызначаюць два ці больш роўнавысокіх нефы.	Зальны храм — храм, унутраны аб’ём якога вызначаюць два ці больш роўнавысокіх нэфы.	Зальны храм	4800057	Зальны храм	2346849	0.917
У гэтым ён супрацьстаіць базілікальнаму храму, які мае розныя па вышыні нефы.	У гэтым ён супрацьстаіць базылікальнаму храму, які мае розныя па вышыні нэфы.	Зальны храм	4800057	Зальны храм	2346849	0.833
Зальным таксама могуць называць аднанэфавы храм без трансепту.	Зальным таксама могуць называць аднанэфавы храм без трансэпту.	Зальны храм	4800057	Зальны храм	2346849	0.875
Амаль заўжды ўсе нефы зальнага храма накрытыя адзіным цэльным двухсхільным дахам.	Амаль заўжды ўсе нэфы зальнага храма накрытыя адзіным цэльным двухсхільным дахам.	Зальны храм	4800057	Зальны храм	2346849	0.909
Такое унутранае вырашэнне робіць уражанне базылікальнага храма, што аднак не адпавядае рэчаіснасці, бо ў базілікальным храме цэнтральны неф мусіць мець дадатковую зону з ваконнымі праёмамі вышэй бакавых нефаў.	Такое ўнутранае вырашэньне робіць уражаньне базылікальнага храма, што аднак не адпавядае рэчаіснасьці, бо ў базылікальным храме цэнтральны нэф мусіць мець дадатковую зону з ваконнымі праёмамі вышэй бакавых нэфаў.	Зальны храм	4800057	Зальны храм	2346849	0.750
Уваходзіць у склад Акалоўскага сельсавета.	Уваходзіць у склад Акалоўскага сельсавету.	Падчарніца	4246264	Падчарніца	2381160	0.800
Кожная ячэйка ўтрымлівае пэўнае значэнне ці сімвал, які абазначае, што яна з’яўляецца пустой.	Кожная ячэя ўтрымлівае пэўнае значэньне ці сымбаль, які абазначае, што яна зьяўляецца пустой.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.692
Галоўка — паказвае на пэўную ячэйку, з якой вядзецца праца ў дадзены момант.	Галоўка — паказвае на пэўную ячэю, зь якой вядзецца праца ў дадзены момант.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.833
Галоўка можа змяняць значэнне ячэйкі і перамяшчацца ўправа ці ўлева.	Галоўка можа зьмяняць значэньне ячэі і перамяшчацца ўправа ці ўлева.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.700
Рэгістр стану — захоўвае інфармацыю пра стан машыны.	Рэгістар стану — захоўвае інфармацыю пра стан машыны.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.857
Стан вызначае наступны крок і можа змяняцца падчас працы.	Стан вызначае наступны крок і можа зьмяняцца падчас працы.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.889
У шматстужкавай машыне першая стужка звычайна называецца стужкай увядзення, апошняя — вывядзення, а сярэднія — працоўнымі.	У шматстужкавай машыне першая стужка звычайна называецца стужкай увядзеньня, апошняя — вывядзеньня, а сярэднія — працоўнымі.	Машына Цьюрынга	4139860	Машына Т’юрынга	2518825	0.857
Юрый рана кінуў школу і пачаў працаваць.	Юры рана пакінуў школу і пачаў працаваць.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.714
Неўзабаве пераехаў у Мінск.	Неўзабаве пераехаў у Менск.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.750
Памёр 22 кастрычніка 2021 года ў сябе дома.	Памёр 22 кастрычніка 2021 году ў сябе дома.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.833
Напісаў некалькі раманаў, шмат аповесцей і апавяданняў, а таксама каля дзясятка п’ес і кінасцэнарыяў.	Напісаў некалькі раманаў, шмат аповесьцяў і апавяданьняў, а таксама каля дзясятка п’ес і кінасцэнараў.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.786
У большасці сваіх твораў выяўляе апакаліптычную карціну рэчаіснасці, што чакае чалавецтва ў недалёкай будучыні.	У большасьці сваіх твораў маляваў апакаліптычную карціну рэчаіснасьці, што чакае чалавецтва ў недалёкай будучыні.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.786
У сваёй творчасці таксама закранае нацыянальную тэматыку.	У сваёй творчасьці таксама закранае нацыянальную тэматыку.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.857
Сітуацыя «нацыянальнага чакання» (знікнення, заняпаду, распаду і г.д.), якая абмяркоўваецца ўжо бяз колішняга імпэту, у значнай ступені спрыяе пашырэнню амаль кафкіянскай мадэлі мастацкага асэнсавання рэчаіснасці.	Сытуацыя «нацыянальнага чаканьня» (зьнікненьня, заняпаду, распаду і г. д.), якая абмяркоўваецца ўжо бяз колішняга імпэту, у значнай ступені спрыяе пашырэньню амаль кафкіянскай мадэлі мастацкага асэнсаваньня рэчаіснасьці.	Юрый Станкевіч	5159794	Юры Станкевіч	2676981	0.769
Уваходзіць у склад Крайскага сельсавета.	Уваходзіць у склад Крайскага сельсавету.	Завішынская Рудня	4246471	Завішынская Рудня	2380245	0.800
Уваходзіць у склад Хажоўскага сельсавета.	Уваходзіць у склад Хажоўскага сельсавету.	Гаравіны	4930517	Гаравіны	2312514	0.800
Прызначэннем аператыўнага флоту з’яўляецца рашэнне задач аператыўнага і стратэгічнага маштабу як самастойна, так і ва ўзаемадзеянні з іншымі відамі ўзброеных сілаў у межах зоны сваёй адказнасці.	Прызначэньнем апэратыўнага флёту зьяўляецца пастанова задачаў апэратыўнага і стратэгічнага маштабу як самастойна, так і ва ўзаемадзеяньні зь іншымі відамі ўзброеных сілаў у межах зоны сваёй адказнасьці.	Аператыўны флот	4290398	Апэратыўны флёт	1889596	0.615
На пачатак 2010-х гадоў у ЗША на пастаяннай аснове дзейнічалі 2-й (да 2011 г.), 3-й, 4-й, 5-й, 6-й і 7-й аператыўныя флоты.	На пачатак 2010-х гадоў у ЗША на пастаяннай аснове дзейнічалі 2-і (да 2011 г.), 3-і, 4-ы, 5-ы, 6-ы і 7-ы апэратыўныя флёты.	Аператыўны флот	4290398	Апэратыўны флёт	1889596	0.619
Жонка Мікіты Мураўёва з 22 лютага 1823 года.	Жонка Мікіты Мураўёва з 22 лютага 1823 году.	Аляксандра Рыгораўна Мураўёва	4646435	Аляксандра Мураўёва	1959711	0.833
Дазвол следваць за мужам атрымала праз Маскву, бачылася з Аляксандрам Пушкіным, які перадаў ёй свае вершы, адрасаваныя дзекабрыстам «У глыбіні сібірскіх руд…», і пасланне да І.	Дазвол сьледваць за мужам атрымала праз Маскву, бачылася з Аляксандрам Пушкіным, які перадаў ёй свае вершы, адрасаваныя дзекабрыстам «У глыбіні сыбірскіх руд…», і пасьланьне да І.	Аляксандра Рыгораўна Мураўёва	4646435	Аляксандра Мураўёва	1959711	0.885
Прыбыла ў Чыцінскі астрог у лютым 1827 года.	Прыбыла ў Чыцінскі астрог у лютым 1827 году.	Аляксандра Рыгораўна Мураўёва	4646435	Аляксандра Мураўёва	1959711	0.857
З траіх дзяцей Мураўёвых, якія нарадзіліся ў Сібіры, выжыла толькі дачка Соф’я.	З траіх дзяцей Мураўёвых, якія нарадзіліся ў Сыбіры, выжыла толькі дачка Соф’я.	Аляксандра Рыгораўна Мураўёва	4646435	Аляксандра Мураўёва	1959711	0.917
Аляксандра Рыгораўна завяшчала пахаваць сябе побач з маці, але на гэта не быў атрыманы дазвол уладаў.	Аляксандра Рыгораўна заяшчала пахаваць сябе побач з маці, але на гэта ня быў атрыманы дазвол уладаў.	Аляксандра Рыгораўна Мураўёва	4646435	Аляксандра Мураўёва	1959711	0.875
Штучныя касмічныя аб’екты — касмічныя апараты, апошнія прыступкі ракет-носьбітаў і іх часткі.	Штучныя касьмічныя аб’екты — касьмічныя апараты, апошнія ступені ракет-носьбітаў і іх часткі.	Касмічныя аб’екты	2983449	Касьмічны аб’ект	1541243	0.727
Такім чынам, міжнароднае касмічнае права выкарыстоўвае тэрмін «касмічны аб’ект» толькі ў адносінах да аб’ектаў штучнага паходжання.	Такім чынам, міжнароднае касьмічнае права выкарыстоўвае тэрмін касьмічны аб’ект толькі па стаўленьні да аб’ектаў штучнага паходжаньня.	Касмічныя аб’екты	2983449	Касьмічны аб’ект	1541243	0.688
Для абазначэння натуральных касмічных аб’ектаў у міжнародным касмічным праве выкарыстоўваецца найменне — «нябесныя цела».	Для пазначэньня натуральных касьмічных аб’ектаў у міжнародным касьмічным праве выкарыстоўваецца найменьне — «нябесныя целы».	Касмічныя аб’екты	2983449	Касьмічны аб’ект	1541243	0.615
Реферат (Гродна, 1999) Монетные клады Гродненщины.	Реферат (Горадня-1999) Монетные клады Гродненщины.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.800
Реферат (Раўбічы, 2005) Нумизматическое движение Беларуси.	Реферат (Раўбічы-2005) Нумизматическое движение Беларуси.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.800
Реферат (Раўбічы, 2003) Монетные клады из собрания Гродненского государственного историко-археологического музея.	Реферат (Раўбічы-2003) Монетные клады из собрания Гродненского государственного историко-археологического музея.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.900
Реферат (Супрасль, 2004) Монетный двор в Тыкоцине.	Реферат (Супрасьль-2004) Монетный двор в Тыкоцине.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.833
